Year,Category,Amount_RM_Million
2019,Accommodation services,22007.3
2019,Food & beverage serving services,12019.2
2019,Passenger transport services,16023.7
2019,Travel agencies and reservation services,4047.1
2019,"Cultural, sports and recreational services",2526.7
2019,Retail sale of automotive fuel,467.2
2019,Country-specific tourism characteristic goods,29924.4
2019,Country-specific tourism characteristic services,2405.3
2020,Accommodation services,3144.0
2020,Food & beverage serving services,2011.2
2020,Passenger transport services,2413.0
2020,Travel agencies and reservation services,582.5
2020,"Cultural, sports and recreational services",395.1
2020,Retail sale of automotive fuel,24.0
2020,Country-specific tourism characteristic goods,4717.9
2020,Country-specific tourism characteristic services,406.0
2021,Accommodation services,64.8
2021,Food & beverage serving services,78.6
2021,Passenger transport services,178.0
2021,Travel agencies and reservation services,0.5
2021,"Cultural, sports and recreational services",9.8
2021,Retail sale of automotive fuel,0.1
2021,Country-specific tourism characteristic goods,44.4
2021,Country-specific tourism characteristic services,94.8
2022,Accommodation services,5234.1
2022,Food & beverage serving services,5603.0
2022,Passenger transport services,7160.7
2022,Travel agencies and reservation services,740.7
2022,"Cultural, sports and recreational services",1755.8
2022,Retail sale of automotive fuel,325.9
2022,Country-specific tourism characteristic goods,11288.4
2022,Country-specific tourism characteristic services,1703.1
2023,Accommodation services,14369.0
2023,Food & beverage serving services,10574.6
2023,Passenger transport services,16290.8
2023,Travel agencies and reservation services,3295.1
2023,"Cultural, sports and recreational services",2845.8
2023,Retail sale of automotive fuel,748.9
2023,Country-specific tourism characteristic goods,25387.6
2023,Country-specific tourism characteristic services,2314.8
2024,Accommodation services,19752.7
2024,Food & beverage serving services,17102.7
2024,Passenger transport services,20449.0
2024,Travel agencies and reservation services,4302.6
2024,"Cultural, sports and recreational services",2892.5
2024,Retail sale of automotive fuel,1075.6
2024,Country-specific tourism characteristic goods,38672.9
2024,Country-specific tourism characteristic services,2780.6
